name,externalid,lat,long
Čidlo 17-Broumarská/Kyje,531867,50.09914,14.55211
Čidlo 17-Slivenec,531817,50.023476,14.353694
Čidlo 18-Jeremiášova/Stodůlky,531868,50.041,14.31836
Čidlo 18-SAT JIH II,531818,50.0712,14.39848
Čidlo 19-Běchovice,531819,50.081043,14.597582
Čidlo 19-Průmyslová/spalovna,531869,50.054,14.527
Čidlo 2-Bulhar,531802,50.085625,14.436838
Čidlo 2-Kukulova/Motol,531852,50.068,14.33508
Čidlo 20-Průmyslová/Hostivař,531870,50.054,14.527
Čidlo 20-Čimická,531820,50.144413,14.432528
Čidlo 21-Krejcárek,531821,50.097874,14.474548
Čidlo 21-Vysočanská/Jiřetínská,531871,50.054,14.527
Čidlo 22-Štychova/Křeslice,531872,50.02731,14.55883
Čidlo 23-Náchodská/Horní počernice,531873,50.11122,14.59017
Čidlo 24-Jižní spojka/Rabakovská,531874,50.054,14.527
Čidlo 25-Šterboholská spojka/Štěrboholy,531875,50.054,14.527
Čidlo 26-Vypich-Bělohorská/Kukulova,531876,50.054,14.527
Čidlo 27-Mladoboleslavská/Vinoř,531877,50.14025,14.57614
Čidlo 28-Ústecká/K Ládví,531878,50.054,14.527
Čidlo 3-Spořilov,531803,50.04036,14.470484
Čidlo 3-Českobrodská/Pod Táborem,531853,50.054,14.527
Čidlo 4-most Barikádníků,531854,50.054,14.527
Čidlo 4-Uhříněves,531804,50.02543,14.619888
Čidlo 5-5.května/Děkanská vinice,531855,50.054,14.527
Čidlo 5-Zličín,531805,50.054466,14.289665
Čidlo 6-5.května/Michle,531856,50.04836,14.45111
Čidlo 6-SAT JIH,531806,50.072468,14.398088
Čidlo 7-5. května/Na Strži,531857,50.054,14.527
Čidlo 7-SAT Sever,531807,50.08843,14.38286
Čidlo 8-Kyje,531808,50.09226,14.533048
Čidlo 8-ST/Malovanka,531858,50.054,14.527
Čidlo 9-5.května/Chodov,531859,50.03939,14.48667
Čidlo 9-Cínovecká,531809,50.147495,14.494033
Čidlo Holešovice/Vrbenského,531954,50.109318,14.441252
Čidlo K Pazderkám,531963,50.127426,14.4318495
Čidlo Kolárovova/Čs.exilu,531961,50.00423,14.416883
Čidlo Meteorologická,531971,50.005947,14.457905
Čidlo Opatov/Hrnčířská,531952,50.026302,14.509193
Čidlo Prvomájová/železniční stanice,531955,49.986687,14.36348
Čidlo Vypich-Bělohorská/Kukulova,531951,50.079002,14.344662
Čidlo Černý most/Chlumecká,531953,50.11016,14.579415
Šantrochova směr centrum MOR,SA-CI,50.087706,14.347796
Štěrboholská sp. – Dubeč,500576,50.076822985397044,14.580614897787338
Štěrboholská sp. – Granátnická,500574,50.075999525461214,14.547778931737804
Štěrboholská sp. – Nár. hrdinů,500575,50.07790080278694,14.565998724339753
Štěrboholská sp. – Českobrodská,500577,50.08053469903176,14.592790183602167
